Kuupäev;Kask;Lepp;Sarapuu;Kõrrelised;Puju;Kadakas;Malts;Alternaria
"2019-12-12 00:00";;;;;;;;
"2019-12-11 00:00";;;;;;;;
"2019-12-10 00:00";;;;;;;;
"2019-12-09 00:00";;;;;;;;
"2019-12-08 00:00";;;;;;;;
"2019-12-07 00:00";;;;;;;;
"2019-12-06 00:00";;;;;;;;
"2019-12-05 00:00";;;;;;;;
"2019-12-04 00:00";;;;;;;;
"2019-12-03 00:00";;;;;;;;
"2019-12-02 00:00";;;;;;;;
"2019-12-01 00:00";;;;;;;;
"2019-11-30 00:00";;;;;;;;
"2019-11-29 00:00";;;;;;;;
"2019-11-28 00:00";;;;;;;;
"2019-11-27 00:00";;;;;;;;
"2019-11-26 00:00";;;;;;;;
"2019-11-25 00:00";;;;;;;;
"2019-11-24 00:00";;;;;;;;
"2019-11-23 00:00";;;;;;;;
"2019-11-22 00:00";;;;;;;;
"2019-11-21 00:00";;;;;;;;
"2019-11-20 00:00";;;;;;;;
"2019-11-19 00:00";;;;;;;;
"2019-11-18 00:00";;;;;;;;
"2019-11-17 00:00";;;;;;;;
"2019-11-16 00:00";;;;;;;;
"2019-11-15 00:00";;;;;;;;
"2019-11-14 00:00";;;;;;;;
"2019-11-13 00:00";;;;;;;;
"2019-11-12 00:00";;;;;;;;
"2019-11-11 00:00";;;;;;;;
"2019-11-10 00:00";;;;;;;;
"2019-11-09 00:00";;;;;;;;
"2019-11-08 00:00";;;;;;;;
"2019-11-07 00:00";;;;;;;;
"2019-11-06 00:00";;;;;;;;
"2019-11-05 00:00";;;;;;;;
"2019-11-04 00:00";;;;;;;;
"2019-11-03 00:00";;;;;;;;
"2019-11-02 00:00";;;;;;;;
"2019-11-01 00:00";;;;;;;;
"2019-10-31 00:00";0;0;0;0;0;0;0;0
"2019-10-30 00:00";0;0;0;0;0;0;0;0
"2019-10-29 00:00";0;0;0;0;0;0;0;0
"2019-10-28 00:00";0;1;0;0;0;0;0;0
"2019-10-27 01:00";0;0;0;0;0;0;0;0
"2019-10-26 01:00";0;0;0;0;0;0;0;3
"2019-10-25 01:00";3;0;0;0;0;0;0;3
"2019-10-24 01:00";0;0;0;0;0;0;0;0
"2019-10-23 01:00";0;0;0;0;0;0;0;1
"2019-10-22 01:00";0;0;0;0;0;0;0;0
"2019-10-21 01:00";0;0;0;0;0;0;0;1
"2019-10-20 01:00";1;0;0;0;0;0;0;4
"2019-10-19 01:00";0;0;0;0;0;0;0;4
"2019-10-18 01:00";0;0;0;0;0;0;0;0
"2019-10-17 01:00";0;0;0;0;0;0;0;8
"2019-10-16 01:00";1;0;0;0;0;0;0;32
"2019-10-15 01:00";0;0;0;0;0;0;0;1
"2019-10-14 01:00";0;0;0;0;0;0;0;1
"2019-10-13 01:00";0;0;0;0;0;0;0;1
"2019-10-12 01:00";0;0;0;0;0;0;0;11
"2019-10-11 01:00";0;0;0;0;0;0;0;1
"2019-10-10 01:00";0;0;0;0;0;0;0;1
"2019-10-09 01:00";0;0;0;0;;0;0;1
"2019-10-08 01:00";0;0;0;0;0;0;0;0
"2019-10-07 01:00";0;0;0;0;0;0;0;0
"2019-10-06 01:00";0;0;0;0;0;0;0;0
"2019-10-05 01:00";0;0;0;0;0;0;0;0
"2019-10-04 01:00";0;0;0;0;0;0;0;0
"2019-10-03 01:00";0;0;0;0;0;0;0;0
"2019-10-02 01:00";0;0;0;0;0;0;0;0
"2019-10-01 01:00";0;0;0;0;0;0;0;0
"2019-09-30 01:00";0;0;0;0;0;0;0;0
"2019-09-29 01:00";0;0;0;0;0;0;0;18
"2019-09-28 01:00";0;0;0;0;0;0;0;24
"2019-09-27 01:00";0;0;0;0;0;0;0;4
"2019-09-26 01:00";1;0;0;0;0;0;0;8
